true negative, false positive, false negative, true positive, precision,vpn precision, recall,vpn recall, f1-score, vpn f1-score, accuracy, cv accuracy, auc, cv auc
56295,1621,2014,4747,0.9654598775489204,0.7454459798994975,0.9720111886179985,0.7021150717349505,0.9687244568724456,0.7231319978673166,0.9437976405832058,0.8858943609720351,0.8370631301764746,0.8378609388636103
56269,1509,2007,4892,0.9655604365433454,0.7642555850648336,0.9738827927584894,0.7090882736628497,0.9697037585951368,0.7356390977443609,0.9456375527621875,0.8883155351329848,0.8414855332106695,0.8380739433904759
56317,1523,2061,4776,0.9646956045085477,0.758215589776155,0.9736687413554633,0.6985519964896885,0.9691614035691545,0.7271619975639464,0.9445861743741979,0.8863210700149098,0.836110368922576,0.8405145074679297
56306,1496,1975,4900,0.9661124551740704,0.7661038148843027,0.9741185426109823,0.7127272727272728,0.9700989809015963,0.7384522643357697,0.9463333178718865,0.8849945318711226,0.8434229076691276,0.8375620957074291
56211,1551,2121,4794,0.963639168895289,0.7555555555555555,0.9731484366884803,0.6932754880694143,0.968370458421624,0.7230769230769231,0.9432255670485644,0.885792313916847,0.8332119623789472,0.839792511359124
56155,1538,2103,4881,0.9639019533797933,0.7603988160149556,0.9733416532334945,0.6988831615120275,0.9685988046674888,0.728344400507349,0.9437048719019125,0.885161502375443,0.8361124073727609,0.8395779512761997
56173,1570,2065,4869,0.9645420515814417,0.756173318838329,0.9728105571238073,0.7021920969137583,0.9686586596080393,0.7281836536304495,0.9437976405832058,0.8851336924253431,0.8375013270187828,0.8377468158041517
56125,1587,2038,4927,0.9649605419252789,0.7563708934602394,0.9725013861935126,0.7073941134242642,0.9687162891046386,0.731063135247422,0.9439522550520277,0.8874250069966017,0.8399477498088883,0.8382707212363695
56199,1581,2057,4840,0.964690332326284,0.7537766703005763,0.97263759086189,0.7017543859649122,0.9686476610707022,0.7268358612404265,0.9437512562425592,0.8882458951525065,0.837195988413401,0.8398259110742501
56204,1621,2004,4848,0.965571742715778,0.7494203122584634,0.9719671422395157,0.7075306479859895,0.9687588875578499,0.7278732827865777,0.9439522550520277,0.8857180875704316,0.8397488951127526,0.8376769741425569
56334,1569,2007,4767,0.9655988070139353,0.7523674242424242,0.972902958395938,0.7037201062887511,0.9692371219159699,0.7272311212814645,0.9447098659492555,0.8856160880609251,0.8383115323423447,0.8387022865543695
56242,1502,2106,4827,0.9639062178652225,0.7626797282351082,0.9739886395123303,0.6962353959324967,0.9689212004272474,0.7279445030915398,0.9442150996490252,0.8839416720969812,0.8351120177224135,0.8397759849429663
56312,1528,2138,4699,0.9634217279726262,0.7546169905251325,0.973582295988935,0.6872897469650432,0.9684753633158484,0.7193815064298836,0.9433183357298576,0.8854954707029439,0.8304360214769891,0.8360358262490472
56286,1516,2113,4762,0.963817873593726,0.758521822236381,0.9737725338223591,0.6926545454545454,0.9687696319308784,0.7240933627309359,0.943890409264499,0.8874667492443343,0.8332135396384521,0.83737327291895
56360,1494,2040,4783,0.9650684931506849,0.7619882109287877,0.9741763750129636,0.7010112853583468,0.9696010459855144,0.7302290076335878,0.9453592467183078,0.8867431664385712,0.8375938301856551,0.8373149401094852
56391,1499,1993,4794,0.9658639353247465,0.761798824090259,0.9741060632233547,0.706350375718285,0.9699674905825895,0.7330275229357799,0.9460086274873603,0.8847254730060918,0.8402282194708198,0.8436974794230627
56181,1557,2065,4874,0.964546921677025,0.7578914632250039,0.973033357580796,0.7024066868424845,0.9687715546971997,0.7290949887808527,0.9439986393926744,0.8860983886043059,0.8377200222116402,0.8462641571382195
56239,1604,1975,4859,0.9660734531212423,0.7518180411573573,0.9722697647079163,0.7110038045068774,0.9691617050242554,0.7308415432052343,0.9446634816086089,0.8852774866770794,0.8416367846073969,0.8383766468147993
56164,1519,2085,4909,0.9642053940840186,0.7636901057871811,0.9736664181821334,0.7018873319988561,0.9689128109581479,0.7314856206228579,0.9442769454365539,0.8866689101839226,0.8377768750904947,0.8404778591435864
56327,1484,2073,4793,0.9645034246575342,0.763581328660188,0.9743301447821349,0.6980774832508011,0.9693918820077274,0.7293616373735069,0.9450036334400174,0.8870446289391541,0.836203814016468,0.839959937929901
56201,1569,2039,4868,0.9649896978021978,0.7562529128475998,0.9728405746927471,0.7047922397567685,0.9688992328247564,0.7296163069544365,0.9442150996490252,0.8867941829756785,0.8388164072247578,0.8388510936703829
56279,1501,2118,4779,0.9637310135794647,0.7609872611464968,0.9740221529941157,0.6929099608525446,0.9688492558768087,0.7253547848523944,0.944045023733321,0.8873971839210615,0.8334660569233302,0.835805520356599
56361,1506,2048,4762,0.9649369104076426,0.7597319719208679,0.973974804292602,0.6992657856093979,0.9694347930785373,0.7282459091604221,0.9450500177806639,0.886576201530325,0.836620294951,0.8396427756180957
56326,1567,1992,4792,0.9658424500154327,0.7535776065419091,0.9729328243483668,0.7063679245283019,0.9693746719329496,0.7292094651145096,0.9449727105462529,0.8878099348455242,0.8396503744383343,0.8371727485325474
56305,1515,2042,4815,0.9650024851320548,0.7606635071090048,0.9737979937737807,0.7022021292110252,0.9693802887222704,0.7302646545840602,0.9450036334400174,0.8865204693236522,0.838000061492403,0.8386467679302949
56224,1542,2041,4870,0.9649703938899854,0.7595134123518403,0.9733060970120833,0.7046737085805238,0.9691203212934474,0.7310665765968626,0.9446016358210801,0.8867570750708239,0.8389899027963035,0.8373499898327632
56306,1645,1972,4754,0.966162188132743,0.7429285825910299,0.9716139497161395,0.7068093963722867,0.9688803999001969,0.7244190476190477,0.9440759466270854,0.885653168641111,0.8392116730442131,0.840428533183475
56285,1479,2096,4817,0.9640979085661431,0.7650889453621347,0.9743958174641645,0.6968031245479531,0.9692195100951396,0.7293511999394352,0.9447253273961377,0.8856531791835653,0.8355994710060587,0.8398999955751462
56306,1551,1989,4831,0.9658804357148983,0.7569727358194923,0.9731925264012997,0.7083577712609971,0.9695226944004407,0.7318588092713226,0.9452664780370147,0.8863535429247577,0.8407751488311485,0.835550096938998
56286,1555,2006,4830,0.9655870445344129,0.7564604541895067,0.9731159558098926,0.7065535400819193,0.9693368809898995,0.7306557749035626,0.9449417876524885,0.8859778297664782,0.839834747945906,0.8384294811040404
56192,1574,2002,4909,0.965597827954772,0.7572111676692889,0.97275213793581,0.7103168861235711,0.9691617799241118,0.7330147827385396,0.9447098659492555,0.8856856208981878,0.8415345120296905,0.8391751706158199
56140,1540,2035,4962,0.9650193382036958,0.7631498000615196,0.9733009708737864,0.7091610690295841,0.9691424625609598,0.7351655678198384,0.9447253273961377,0.88665508072693,0.8412310199516854,0.8411132754500092
56328,1531,1952,4866,0.9665065202470831,0.7606690636235736,0.9735391209664875,0.7136990319741859,0.9700100741353034,0.7364358683314415,0.9461477805093,0.887169874188945,0.8436190764703368,0.8365994791762414
56218,1623,2025,4811,0.9652318733581718,0.7477463475287535,0.9719403191507754,0.7037741369221767,0.9685744805485682,0.7250941974378297,0.9435966417737371,0.8867663325761284,0.8378572280364761,0.8418750927795573
56342,1579,1955,4801,0.9664648266634647,0.7525078369905956,0.9727387303396005,0.7106275902901125,0.9695916295238259,0.7309683313032888,0.9453592467183078,0.8876012556571015,0.8416831603148565,0.8364413931627807
56143,1528,2168,4838,0.9628200511052804,0.7599748664781653,0.9735048811360996,0.6905509563231516,0.9681329861530237,0.7236015554890817,0.9428544923233916,0.8867988112963128,0.8320279187296256,0.8392535235144705
56275,1568,1966,4868,0.9662437114747343,0.7563704164077066,0.9728921390660927,0.7123207491952005,0.9695565280314256,0.7336850037678975,0.9453592467183078,0.8855510989943702,0.8426064441306467,0.841065386380542
