p,p_VPN,r,r_VPN,f1,f1_VPN,acc,auc,tp,tn,fp,fn
0.9941749246014648,0.9721888153938665,0.9968032900193531,0.950330639235856,0.995487372408259,0.9611354685293898,0.9919136632806098,0.9735669646276045,6467,338,185,6467
0.9939836921856954,0.9764547090581883,0.9972845356901949,0.9491253644314869,0.9956313781016352,0.962596096984033,0.9921765078776071,0.9732049500608408,6511,349,157,6511
0.9937060284177128,0.975018698578908,0.9971104266878915,0.9469707976173181,0.9954053167049557,0.9607900943396226,0.99177451025867,0.9720406121526047,6518,365,167,6518
0.9944843752693177,0.9713213213213213,0.9967005251520177,0.9528649285609073,0.9955912169449118,0.962004610008179,0.9920992006431962,0.9747827268564624,6469,320,191,6469
0.9946442102362747,0.9703434710243607,0.9966179490276603,0.9537477691850089,0.9956301014471518,0.9619740493512338,0.992161046430725,0.9751828591063346,6413,311,196,6413
0.9938085300864047,0.9734090230056768,0.9969205217812532,0.9477818181818182,0.9953620935354321,0.9604244970152555,0.991697203024259,0.9723511699815358,6516,359,178,6516
0.9941732174872432,0.9742090268406058,0.9970263822136164,0.9505486466715435,0.9955977557186017,0.9622334123222749,0.9921146620900784,0.9737875144425799,6497,338,172,6497
0.9937854960382537,0.9731772377000593,0.9968658008658009,0.9480294499783456,0.995323265242611,0.9604387568555759,0.9916353572367302,0.9724476254220733,6567,360,181,6567
0.9934691338827554,0.9749926448955575,0.9970522446290163,0.946046246074793,0.9952574643011683,0.96030136192408,0.9915271271085548,0.9715492453519047,6628,378,170,6628
0.9937322427894963,0.9745531657073614,0.9970973928367802,0.9464548396587231,0.995411973713714,0.9602985074626865,0.99177451025867,0.9717761162477517,6434,364,168,6434
0.9944718930311301,0.9740833456044765,0.9969519587128953,0.9538572458543619,0.9957103815684782,0.9638641993297392,0.9923311223464292,0.9754046022836286,6615,320,176,6615
0.9948319523161467,0.9738986119493059,0.9970132246814681,0.9555884529977794,0.9959213941416388,0.964656653963984,0.9926867356247198,0.9763008388396238,6455,300,173,6455
0.9936778829544669,0.9739130434782609,0.9969325684973052,0.9475193576139949,0.995302564989835,0.9605349225961191,0.9916044343429659,0.97222596305565,6608,366,177,6608
0.9939802802283342,0.9743701762050386,0.9969464589333425,0.950561159255576,0.9954611600027717,0.962318423701999,0.9918982018337276,0.9737538090944593,6691,348,176,6691
0.9938946569625056,0.9716206123973115,0.9967138261441074,0.948388977985129,0.9953022452504319,0.9598642467168362,0.9915889728960836,0.9725514020646182,6505,354,190,6505
0.9939856620941614,0.9682659046473154,0.9963551563309725,0.9485781641373213,0.9951689987749961,0.9583209288478713,0.9913415897459684,0.972466660234147,6438,349,211,6438
0.9936329911137952,0.9739660815233562,0.9969702740603521,0.9466454598033546,0.9952988350789866,0.9601114532922717,0.9915889728960836,0.9718078669318533,6547,369,175,6547
